SEED LOG
Generated : 2026-05-13T06:13:22.824Z
Password  : Abc.1234 (all users)

-- User Administrators (10) -------------------------
  ACTIVE    | liamwalker_ua0                      | liam.walker_ua0@proton.me
  SUSPENDED | lauraking_pm9                       | laura.king_pm9@outlook.com

-- Summary -------------------------------------------
  User Profiles  : 4
  FRA Categories : 105  (90 active, 15 inactive)
  Users          : 110
    -> UA         : 10
    -> Fundraiser : 30
    -> Donee      : 60
    -> PM         : 10
  FRA            : 141  (89 active, 41 completed, 11 suspended)
  Donations      : 265
  Favourites     : 233
